participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,580,318,cornhusk_03s,unseen,,no,0.7632848999928683,52,61
1,001,20,f,r,memory_test,581,319,eggshell_10s,unseen,,no,0.5906143999891356,52,61
1,001,20,f,r,memory_test,582,320,snorkel_09s,seen,no,no,0.8513583999592811,51,62
1,001,20,f,r,memory_test,583,321,snorkel_05s,unseen,,no,0.48538660001941025,52,61
1,001,20,f,r,memory_test,584,322,nightshirt_01b,seen,yes,no,0.43263629998546094,51,62
1,001,20,f,r,memory_test,585,323,barrette_01b,seen,no,no,0.8528673000400886,51,62
1,001,20,f,r,memory_test,586,324,avocado_01b,unseen,,yes,0.9975532999960706,52,62
1,001,20,f,r,memory_test,587,325,parfait_20s,seen,yes,no,0.4493613999802619,51,62
1,001,20,f,r,memory_test,588,326,calf1_12s,seen,no,no,1.349762300029397,51,62
1,001,20,f,r,memory_test,589,327,polo_shirt_04s,seen,yes,no,0.5035262999590486,51,62
1,001,20,f,r,memory_test,590,328,bunkbed_13s,unseen,,no,0.5772659999784082,52,61
1,001,20,f,r,memory_test,591,329,goat_02n,seen,yes,no,0.6875253000762314,51,62
1,001,20,f,r,memory_test,592,330,donut_02s,seen,no,no,1.2379330000840127,51,62
1,001,20,f,r,memory_test,593,331,salami_13s,unseen,,no,0.6547276999335736,52,61
1,001,20,f,r,memory_test,594,332,memory_stick_05s,seen,no,no,0.9118483000202104,51,62
1,001,20,f,r,memory_test,595,333,ready_meal_11s,seen,yes,no,0.6071691999677569,51,62
1,001,20,f,r,memory_test,596,334,sponge_14s,seen,no,no,0.6416109000565484,51,62
1,001,20,f,r,memory_test,597,335,pacifier_04s,unseen,,no,0.45441690005827695,52,61
1,001,20,f,r,memory_test,598,336,celery_08n,unseen,,no,0.4424751999322325,52,61
1,001,20,f,r,memory_test,599,337,cat_08s,unseen,,no,0.4388010000111535,52,61
1,001,20,f,r,memory_test,600,338,air_mattress_03s,seen,yes,no,0.5310364000033587,51,62
1,001,20,f,r,memory_test,601,339,dough_19s,seen,yes,no,0.3957542999414727,51,62
1,001,20,f,r,memory_test,602,340,cloak_13s,unseen,,no,0.6784401999320835,52,61
1,001,20,f,r,memory_test,603,341,shower_cap_12s,seen,yes,yes,1.3416513999691233,51,61
1,001,20,f,r,memory_test,604,342,kangaroo_12s,unseen,,no,2.296168699976988,52,61
1,001,20,f,r,memory_test,605,343,light_switch_17s,seen,yes,no,0.7041831000242382,51,62
1,001,20,f,r,memory_test,606,344,hobbyhorse_04s,seen,no,yes,0.9258157000876963,51,61
1,001,20,f,r,memory_test,607,345,dolphin_02s,unseen,,no,0.5156672999728471,52,61
1,001,20,f,r,memory_test,608,346,cookie_cutter_02s,seen,yes,no,0.4733470999635756,51,62
1,001,20,f,r,memory_test,609,347,taffy_02s,seen,yes,no,0.578702500090003,51,62
1,001,20,f,r,memory_test,610,348,ham_10s,seen,no,no,0.9445025000022724,51,62
1,001,20,f,r,memory_test,611,349,grater_03s,seen,no,no,0.7700913000153378,51,62
1,001,20,f,r,memory_test,612,350,undershirt_04s,unseen,,no,0.723238299950026,52,61
