thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,59,12,001,28,f,r,calibration,0.75,2,-1,59,0.347354013008391,-0.6306903787402434,1,False,0.6008913000114262,False,square,square,0.1899230131983199,4.8877283356993,884.6788287615734,135.29321528344616,1473,[np.int64(393)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,60,12,001,28,f,r,calibration,0.75,2,-1,60,0.347354013008391,-0.6306903787402434,1,False,0.784399600001052,False,square,square,0.18779609893745744,5.975255769022603,1093.4718057311363,138.9654168905608,1504,[np.int64(648)],-0.762782194706847,2.9494758663563023,1.7531262008605422,0.022958682193682155,0.02060281453484092,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,61,12,001,28,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.4285076999804005,False,dot,dot,0.9585022178944526,4.320886302925218,1019.7291674903515,314.5904199995292,474,[np.int64(750)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,62,12,001,28,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.43686400004662573,False,square,square,0.9261401199953351,3.7137469473395717,679.6156913631417,273.8285343012234,1513,[np.int64(1059)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,63,12,001,28,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.7294401000253856,False,dot,dot,0.8644614427153365,6.5796269907395235,1204.0717393053328,417.0066235928683,1348,[np.int64(857)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,64,12,001,28,f,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,1,False,0.441852799966,False,square,square,0.8074724288348268,2.699480886849031,491.30552140652367,371.3172026099798,986,[np.int64(1340)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,65,12,001,28,f,r,calibration,0.55,2,0,5,0.347354013008391,-0.6306903787402434,1,False,0.5628296999493614,False,square,square,0.7495926648821191,3.535727509256185,643.5024066846256,363.47172559379,1079,[np.int64(574)],-1.241575383088058,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,66,12,001,28,f,r,calibration,0.55,2,0,6,0.29156950079727495,-0.887773556565376,1,False,0.6141790000256151,False,dot,dot,0.7023309908200142,2.169787285560049,397.07107325748893,191.70123955923222,620,[np.int64(966)],-1.3588216304629763,3.3918364397574012,2.1111728966575884,0.0239330736742811,0.02104422061423556,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,67,12,001,28,f,r,calibration,0.55,2,0,7,0.2414297750189407,-1.1448567343905092,0,False,0.6162186999572441,False,square,dot,0.6712303973201291,3.5182319167867737,640.3182088551928,264.366377758969,843,[np.int64(521)],-0.93650096211863,3.2955079985627074,2.0730521854968056,0.02517030712446477,0.02134471663600216,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,68,12,001,28,f,r,calibration,0.55,2,0,8,0.40766968306220214,-0.37360720091511007,1,False,0.6665060999803245,False,dot,dot,0.619499703826113,6.010183131675253,1099.8635130965713,212.59331517809676,1021,[np.int64(1108)],-1.0202698473633458,3.3534606118755192,2.0952660124572433,0.024773286599401145,0.021249308782605992,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
,,69,12,001,28,f,r,calibration,0.55,2,0,9,0.347354013008391,-0.6306903787402434,1,False,0.737202399992384,False,square,square,0.5808074581136354,5.446255568175124,991.2185134078725,453.17240654068985,771,[np.int64(826)],-1.1014638183307537,3.4091709106921524,2.118634447207203,0.024397865268041843,0.02115404547572668,,,,,,,,,,,,,12,001,28,f,r,0.32818957714686336,True,,,,,
