thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,62,3,001,21,f,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,0.5754363000160083,False,square,square,0.8974722567509856,6.410972885273896,1448.8798720719005,97.73894083664547,1049,[np.int64(910)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,63,3,001,21,f,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,0.7030723000061698,False,dot,dot,0.8872830967337415,10.146402927009705,2039.4269883289505,142.08990416759903,1040,[np.int64(19)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,64,3,001,21,f,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,0.6211943000089377,False,square,square,0.8556339725168699,3.0879914327616347,957.2773441561068,69.13604682930118,948,[np.int64(618)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,65,3,001,21,f,r,calibration,0.75,2,-1,5,0.5981210736084265,0.3976423325602886,1,False,0.8110044999921229,False,dot,dot,0.8003514367271172,5.6864526148598635,1569.4609217013224,90.51663172754279,246,[np.int64(210)],-0.19317776838267303,3.249692783827168,2.061588839060837,0.024504387610261986,0.02119693986790726,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,66,3,001,21,f,r,calibration,0.75,2,-1,6,0.5981210736084265,0.3976423325602886,0,False,0.6587438000133261,False,square,dot,0.8046918067415791,8.314377637807084,1970.507500160279,144.18334345323322,1001,[np.int64(42)],0.4264231227968457,2.998726084551925,1.9450283448094638,0.026603364387855426,0.021621373522818062,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,67,3,001,21,f,r,calibration,0.75,2,-1,7,0.5981210736084265,0.3976423325602886,1,False,0.6159807999792974,False,square,square,0.7873532299879428,2.7047176184660104,770.844521262813,25.301532109518934,771,[np.int64(1397)],0.2729185657095314,3.0026315206767213,1.9482023534359574,0.02628803660805043,0.021561832916155335,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,68,3,001,21,f,r,calibration,0.75,2,-1,8,0.5981210736084265,0.3976423325602886,0,False,0.6545558999932837,False,square,dot,0.7072295282931662,3.764183135989488,1287.350632508405,43.66183157235589,127,[np.int64(927)],0.7276229451378194,2.9412749341600493,1.9133830981674103,0.0273827203739213,0.021743494027282685,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,69,3,001,21,f,r,calibration,0.75,2,-1,9,0.6580745541515514,0.654725510385422,1,False,0.7351867000106722,False,dot,dot,0.6989614088964143,4.787189764428866,1924.4502853004042,90.39291917103326,543,[np.int64(544)],0.598544046867993,2.938483097237492,1.9133454626290665,0.027073035044355986,0.021693257093707896,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,70,3,001,21,f,r,calibration,0.75,2,-1,10,0.6580745541515514,0.654725510385422,1,False,0.770715199992992,False,square,square,0.6798185950879768,5.3775531032886965,2177.909006831922,111.56037155126982,1458,[np.int64(703)],0.47707998098312654,2.9509201286831757,1.9210787519707977,0.0267412986030924,0.02163578302490628,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
,,71,3,001,21,f,r,calibration,0.75,2,-1,11,0.6580745541515514,0.654725510385422,0,False,0.8685372000036296,False,square,dot,0.6312243338358513,5.324413427321935,1379.0230776763813,49.14002650065792,1125,[np.int64(1091)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
